"Violation ID","Primary Building Identifier","Primary Boro Identifier","Primary Borough Name","Primary House Number","Primary Low House Number","Primary High House Number","Primary Street Name","Primary Postcode","Development Name","TDS Number","Stairhall Number","NYCHA Address Section BoroID","NYCHA Address Section Borough","NYCHA Address Section House Number","NYCHA Address Section Street Name","NYCHA Address Section PostCode","Apartment","Story","Block","Lot","Violation Description","Class","Inspection Date","Approved Date","Order Number","Issued in Error","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)"
"18220152","808768","3","BROOKLYN","1","1","17","LORRAINE STREET","11231","RED HOOK WEST","79","84","3","BROOKLYN","11","LORRAINE STREET","11231","1D","1","533","1","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT NORTH WALL AND WEST WALL  IN THE  1st ROOM  FROM EAST AT NORTH LOCATED AT APT 1D, 1st STORY, 1st APARTMENT FROM NORTH AT EAST","B","09/11/2025","09/15/2025","508","N","40.675118","-74.009568","306","38","3326207","3005330001","85","BK0601"
"18220153","808768","3","BROOKLYN","1","1","17","LORRAINE STREET","11231","RED HOOK WEST","79","84","3","BROOKLYN","11","LORRAINE STREET","11231","1D","1","533","1","§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING AND WEST WALL  IN THE  BATHROOM  LOCATED AT APT 1D, 1st STORY, 1st APARTMENT FROM NORTH AT EAST","B","09/11/2025","09/15/2025","583","N","40.675118","-74.009568","306","38","3326207","3005330001","85","BK0601"
"18220154","808768","3","BROOKLYN","1","1","17","LORRAINE STREET","11231","RED HOOK WEST","79","84","3","BROOKLYN","11","LORRAINE STREET","11231","1D","1","533","1","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND WEST WALL  IN THE  BATHROOM  LOCATED AT APT 1D, 1st STORY, 1st APARTMENT FROM NORTH AT EAST","B","09/11/2025","09/15/2025","508","N","40.675118","-74.009568","306","38","3326207","3005330001","85","BK0601"
"18223815","286990","3","BROOKLYN","621","615","621","EAST 105 STREET","11236","BREUKELEN","56","64","3","BROOKLYN","105-12","FARRAGUT ROAD","11236","7E","7","8174","1","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT EAST WALL  IN THE  2nd ROOM  FROM NORTH LOCATED AT APT 7E, 7th STORY, 1st APARTMENT FROM EAST AT SOUTH","B","09/12/2025","09/15/2025","508","N","40.650186","-73.897621","318","42","3321415","3081740001","982","BK1803"
"18223816","286990","3","BROOKLYN","621","615","621","EAST 105 STREET","11236","BREUKELEN","56","64","3","BROOKLYN","105-12","FARRAGUT ROAD","11236","7E","7","8174","1","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQ FT AT SOUTH WALL  IN THE  3rd ROOM  FROM NORTH AT WEST LOCATED AT APT 7E, 7th STORY, 1st APARTMENT FROM EAST AT SOUTH","B","09/12/2025","09/15/2025","550","N","40.650186","-73.897621","318","42","3321415","3081740001","982","BK1803"
"18223817","286990","3","BROOKLYN","621","615","621","EAST 105 STREET","11236","BREUKELEN","56","64","3","BROOKLYN","105-12","FARRAGUT ROAD","11236","7E","7","8174","1","§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE SOUTH WALL  IN THE  3rd ROOM  FROM NORTH AT WEST LOCATED AT APT 7E, 7th STORY, 1st APARTMENT FROM EAST AT SOUTH","A","09/12/2025","09/15/2025","556","N","40.650186","-73.897621","318","42","3321415","3081740001","982","BK1803"
"18223818","286990","3","BROOKLYN","621","615","621","EAST 105 STREET","11236","BREUKELEN","56","64","3","BROOKLYN","105-12","FARRAGUT ROAD","11236","7E","7","8174","1","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT WEST WALL  IN THE  PRIVATE HALLWAY  LOCATED AT APT 7E, 7th STORY, 1st APARTMENT FROM EAST AT SOUTH","B","09/12/2025","09/15/2025","508","N","40.650186","-73.897621","318","42","3321415","3081740001","982","BK1803"
"18223819","286990","3","BROOKLYN","621","615","621","EAST 105 STREET","11236","BREUKELEN","56","64","3","BROOKLYN","105-12","FARRAGUT ROAD","11236","7E","7","8174","1","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING  IN THE  BATHROOM  LOCATED AT APT 7E, 7th STORY, 1st APARTMENT FROM EAST AT SOUTH","B","09/12/2025","09/15/2025","508","N","40.650186","-73.897621","318","42","3321415","3081740001","982","BK1803"
"18223820","286990","3","BROOKLYN","621","615","621","EAST 105 STREET","11236","BREUKELEN","56","64","3","BROOKLYN","105-12","FARRAGUT ROAD","11236",,"7","8174","1","§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE  LATCH AT COMPACTOR HOPPER DOOR  AT PUBLIC HALL, 7th STORY","C","09/12/2025","09/15/2025","530","N","40.650186","-73.897621","318","42","3321415","3081740001","982","BK1803"
"18223821","286990","3","BROOKLYN","621","615","621","EAST 105 STREET","11236","BREUKELEN","56","64","3","BROOKLYN","105-12","FARRAGUT ROAD","11236",,"-999","8174","1","§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE  LATCH, AT BUILDING FRONT ENTRANCE","C","09/12/2025","09/15/2025","530","N","40.650186","-73.897621","318","42","3321415","3081740001","982","BK1803"
